id	start	end	gene	dist
ENSMUST00000001122.5	51	1811	Slc13a2	1760
ENSMUST00000001125.5	56	1006	Kctd10	950
ENSMUST00000001126.3	82	1461	Slc46a1	1379
ENSMUST00000001127.10	120	1226	Poldip2	1106
ENSMUST00000001130.7	104	676	Sebox	572
ENSMUST00000001147.4	256	3333	Col6a1	3077
ENSMUST00000001148.10	265	1380	Pcbp3	1115
ENSMUST00000001155.10	138	1952	Araf	1814
ENSMUST00000001156.7	102	1496	Cfp	1394
ENSMUST00000001166.13	45	2186	Cnnm3	2141
ENSMUST00000001172.11	261	812	Ankrd39	551
ENSMUST00000001179.6	109	8859	Pcnt	8750
ENSMUST00000001181.12	394	3498	Col6a2	3104
ENSMUST00000001183.7	59	1684	Ftcd	1625
ENSMUST00000001184.9	154	837	Mxd1	683
ENSMUST00000001185.13	220	1794	Gmcl1	1574
ENSMUST00000001187.14	120	1079	Anxa4	959
ENSMUST00000001202.14	267	2969	Ocrl	2702
ENSMUST00000001226.10	1	2043	Sh3bp1	2042
ENSMUST00000001240.11	341	1471	Agpat3	1130
ENSMUST00000001242.8	54	854	Gatd3a	800
ENSMUST00000001247.11	263	1369	Rnf32	1106
ENSMUST00000001253.7	216	2558	Slc26a4	2342
ENSMUST00000001254.5	213	2486	Slc26a3	2273
ENSMUST00000001256.10	160	2820	Sema6b	2660
ENSMUST00000001258.14	254	2602	Uhrf1	2348
ENSMUST00000001279.14	292	2076	Lsr	1784
ENSMUST00000001280.13	180	2348	Gramd1a	2168
ENSMUST00000001304.8	125	1270	Ckb	1145
ENSMUST00000001319.14	629	1639	Efnb2	1010
ENSMUST00000001326.6	37	2382	Sp1	2345
ENSMUST00000001327.10	98	2518	Itgb7	2420
ENSMUST00000001339.5	51	896	Rrp15	845
ENSMUST00000001347.6	164	847	Rnd2	683
ENSMUST00000001384.5	89	982	Cnn1	893
ENSMUST00000001402.13	59	1372	Fbxo9	1313
ENSMUST00000001412.16	142	3036	Vps50	2894
ENSMUST00000001415.8	322	1782	Apbb3	1460
ENSMUST00000001416.7	106	1635	Hars	1529
ENSMUST00000001419.9	67	666	Zmat2	599
ENSMUST00000001451.10	165	3218	Smg5	3053
ENSMUST00000001452.13	121	1758	Cct3	1637
ENSMUST00000001456.10	167	1342	Tmem79	1175
ENSMUST00000001460.13	218	2950	Snd1	2732
ENSMUST00000001479.4	297	2927	Kpnb1	2630
ENSMUST00000001480.13	181	2943	Npepps	2762
ENSMUST00000001484.2	195	1787	Tbx21	1592
ENSMUST00000001485.9	42	830	Mrpl10	788
ENSMUST00000001497.8	167	826	Cideb	659
ENSMUST00000001507.4	440	1951	Cyp51	1511
ENSMUST00000001513.7	42	1385	Tubb6	1343
ENSMUST00000001520.12	8	2377	Afg3l1	2369
ENSMUST00000001534.6	43	678	Sost	635
ENSMUST00000001536.8	614	1732	Nkx2-1	1118
ENSMUST00000001538.9	223	1251	Pax9	1028
ENSMUST00000001544.11	212	2593	Vwa5a	2381
ENSMUST00000001547.7	146	4507	Col1a1	4361
ENSMUST00000001559.10	119	1450	Itfg2	1331
ENSMUST00000001562.8	74	1456	Tulp3	1382
ENSMUST00000001565.14	188	1579	Gtf2h4	1391
ENSMUST00000001566.9	254	1588	Tubb5	1334
ENSMUST00000001569.14	287	1573	Flot1	1286
ENSMUST00000001583.7	895	2814	Ell2	1919
ENSMUST00000001592.14	123	2360	Jup	2237
ENSMUST00000001595.9	88	1833	Fkbp10	1745
ENSMUST00000001599.3	115	1941	Klhl10	1826
ENSMUST00000001608.7	196	1410	Mnx1	1214
ENSMUST00000001611.10	15	2579	Nom1	2564
ENSMUST00000001620.12	171	2204	Fxr1	2033
ENSMUST00000001631.6	202	2424	Acap1	2222
ENSMUST00000001652.6	57	1235	Bdkrb2	1178
ENSMUST00000001667.12	106	651	Csn3	545
ENSMUST00000001672.11	234	1583	Ifrd1	1349
ENSMUST00000001699.7	63	1091	Hoxc10	1028
ENSMUST00000001700.6	86	1072	Hoxc13	986
ENSMUST00000001701.3	100	1014	Hoxc11	914
ENSMUST00000001703.7	174	902	Hoxc8	728
ENSMUST00000001706.6	632	1414	Hoxc9	782
ENSMUST00000001709.2	268	936	Hoxc5	668
ENSMUST00000001711.5	34	741	Hoxc6	707
ENSMUST00000001712.7	422	6985	Cabin1	6563
ENSMUST00000001713.9	89	811	Gstt1	722
ENSMUST00000001715.9	457	1182	Gstt3	725
ENSMUST00000001716.7	92	448	Ddt	356
ENSMUST00000001720.13	97	1461	Tat	1364
ENSMUST00000001722.13	62	1219	Marveld3	1157
ENSMUST00000001724.11	115	2097	Ddx18	1982
ENSMUST00000001757.8	66	590	Eef1e1	524
ENSMUST00000001780.9	371	1813	Akt1	1442
ENSMUST00000001790.5	239	922	Cldn15	683
ENSMUST00000001792.11	228	4196	Il16	3968
ENSMUST00000001801.10	120	2624	Tcirg1	2504
ENSMUST00000001802.9	114	2333	Naglu	2219
ENSMUST00000001806.9	138	1829	Coasy	1691
ENSMUST00000001809.14	468	2378	Pabpc1	1910
ENSMUST00000001812.4	318	2699	Smo	2381
ENSMUST00000001818.4	411	2483	Crnkl1	2072
ENSMUST00000001824.6	185	2443	Folh1	2258
ENSMUST00000001825.8	273	1268	Chordc1	995
ENSMUST00000001826.14	82	2418	Naalad2	2336
ENSMUST00000001834.3	117	1634	Rtcb	1517
ENSMUST00000001836.10	113	1618	Pwp1	1505
ENSMUST00000001845.12	229	1035	Capns1	806
ENSMUST00000001854.11	98	1690	Slc7a10	1592
ENSMUST00000001872.4	1	1020	Hoxd13	1019
ENSMUST00000001878.5	75	881	Hoxd12	806
ENSMUST00000001900.8	280	1311	Zdhhc4	1031
ENSMUST00000001920.12	213	665	Aif1l	452
ENSMUST00000001921.2	11	1264	Cpa3	1253
ENSMUST00000001950.11	180	1004	Tollip	824
ENSMUST00000001963.13	38	3976	Ace	3938
ENSMUST00000001965.13	31	2883	Kcnh6	2852
ENSMUST00000001974.10	532	2523	Trmt1	1991
ENSMUST00000001975.5	237	1781	Nacc1	1544
ENSMUST00000001984.4	42	746	Ceacam9	704
ENSMUST00000001989.8	229	3405	Uba1	3176
ENSMUST00000002008.6	121	1107	Vsig2	986
ENSMUST00000002011.13	144	1328	Esam	1184
ENSMUST00000002013.10	197	646	Spa17	449
ENSMUST00000002025.4	37	1920	Tktl2	1883
ENSMUST00000002029.12	266	1045	Emd	779
ENSMUST00000002043.9	214	1665	Ccdc47	1451
ENSMUST00000002044.9	318	2198	Map3k3	1880
ENSMUST00000002048.7	188	1072	Taco1	884
ENSMUST00000002053.8	193	1977	Npas1	1784
ENSMUST00000002063.14	25	3393	Ap4e1	3368
ENSMUST00000002064.14	182	1069	Blvra	887
ENSMUST00000002073.12	302	5731	Ltbp2	5429
ENSMUST00000002079.6	58	5766	Plxnb3	5708
ENSMUST00000002080.11	629	2947	Pdzd4	2318
ENSMUST00000002081.5	47	1744	Srpk3	1697
ENSMUST00000002084.13	435	2645	Abcd1	2210
ENSMUST00000002087.13	105	1136	Pnck	1031
ENSMUST00000002091.5	103	840	Bcap31	737
ENSMUST00000002100.7	152	1249	Tmem25	1097
ENSMUST00000002101.11	112	660	Cd3g	548
ENSMUST00000002121.4	471	5651	Supt6	5180
ENSMUST00000002133.8	251	910	Sdf2	659
ENSMUST00000002145.11	17	1033	Hsf2bp	1016
ENSMUST00000002152.12	262	843	Bbc3	581
ENSMUST00000002171.13	194	1549	Psmc3	1355
ENSMUST00000002177.8	190	1527	Nr1h3	1337
ENSMUST00000002180.7	854	1672	Spi1	818
ENSMUST00000002198.3	139	2514	Sf3a1	2375
ENSMUST00000002259.12	121	1956	Clgn	1835
ENSMUST00000002274.9	237	1496	Napsa	1259
ENSMUST00000002275.14	303	1664	Vrk3	1361
ENSMUST00000002280.10	280	1842	Smg9	1562
ENSMUST00000002284.10	27	1010	Plaur	983
ENSMUST00000002291.11	272	3442	Paxip1	3170
ENSMUST00000002292.14	499	1674	Rmnd5a	1175
ENSMUST00000002298.6	32	1555	Ppm1j	1523
ENSMUST00000002303.11	205	786	Rhoc	581
ENSMUST00000002305.8	156	2978	Kdm7a	2822
ENSMUST00000002318.7	329	2035	Zfp523	1706
ENSMUST00000002320.15	330	1652	Ppard	1322
ENSMUST00000002327.5	66	1958	Def6	1892
ENSMUST00000002336.15	300	2039	Zim1	1739
ENSMUST00000002344.6	86	961	Metrn	875
ENSMUST00000002360.16	439	1671	Angptl4	1232
ENSMUST00000002379.14	81	863	Cd320	782
ENSMUST00000002389.8	160	2607	Tgm1	2447
ENSMUST00000002391.14	403	2223	Tm9sf1	1820
ENSMUST00000002395.7	375	2150	Rec8	1775
ENSMUST00000002397.6	160	1206	Gmpr2	1046
ENSMUST00000002398.8	157	3390	Adcy4	3233
ENSMUST00000002400.6	135	629	Mdp1	494
ENSMUST00000002403.9	272	1213	Dhrs1	941
ENSMUST00000002412.8	154	3960	Ncan	3806
ENSMUST00000002413.14	34	1476	Tmem161a	1442
ENSMUST00000002418.14	238	600	Borcs8	362
ENSMUST00000002436.10	207	1994	Snx9	1787
ENSMUST00000002444.14	135	2288	Rfx2	2153
ENSMUST00000002452.7	74	505	Ndufa11	431
ENSMUST00000002457.1	187	1386	Bmp8b	1199
ENSMUST00000002466.8	690	1862	Nr2f6	1172
ENSMUST00000002469.8	337	996	Ocel1	659
ENSMUST00000002473.9	211	1212	Babam1	1001
ENSMUST00000002487.14	169	2583	Braf	2414
ENSMUST00000002495.17	127	1263	Meis3	1136
ENSMUST00000002502.11	178	3189	Hltf	3011
ENSMUST00000002518.8	149	742	Tle5	593
ENSMUST00000002529.6	143	2968	Prpf6	2825
ENSMUST00000002551.4	139	498	Snrpd1	359
ENSMUST00000002572.5	178	1191	Slc9a3r2	1013
ENSMUST00000002588.10	504	5279	Tiam1	4775
ENSMUST00000002603.11	368	5365	Scrib	4997
ENSMUST00000002625.14	126	977	Uck1	851
ENSMUST00000002640.5	121	2268	Scin	2147
ENSMUST00000002655.7	46	393	Mien1	347
ENSMUST00000002663.11	198	1265	Pon1	1067
ENSMUST00000002677.10	210	2876	Axl	2666
ENSMUST00000002678.9	868	2040	Tgfb1	1172
ENSMUST00000002683.2	123	1145	Ccdc97	1022
ENSMUST00000002699.6	83	2146	Akap8	2063
ENSMUST00000002708.4	494	1807	Shh	1313
ENSMUST00000002710.9	19	1113	Pdcd2l	1094
ENSMUST00000002733.6	169	1695	Gtf2f1	1526
ENSMUST00000002735.8	24	842	Clpp	818
ENSMUST00000002737.6	22	687	Alkbh7	665
ENSMUST00000002740.2	4	474	Pspn	470
ENSMUST00000002757.10	156	476	Cox16	320
ENSMUST00000002765.8	126	2882	Prkd1	2756
ENSMUST00000002790.13	130	3045	Cse1l	2915
ENSMUST00000002805.13	70	636	Naa20	566
ENSMUST00000002808.6	160	1101	Prkra	941
ENSMUST00000002809.13	57	713	Fkbp7	656
ENSMUST00000002818.8	209	805	Ykt6	596
ENSMUST00000002825.5	387	4826	Baz1b	4439
ENSMUST00000002837.10	197	886	Tmed5	689
ENSMUST00000002840.8	38	2983	Pex6	2945
ENSMUST00000002844.13	75	995	Mrpl2	920
ENSMUST00000002845.7	94	618	Mea1	524
ENSMUST00000002846.8	18	899	Gnmt	881
ENSMUST00000002848.9	563	4534	Grin2d	3971
ENSMUST00000002850.7	22	4518	Abcc6	4496
ENSMUST00000002855.13	240	878	Kdelr1	638
ENSMUST00000002880.6	44	1663	Btbd6	1619
ENSMUST00000002885.7	243	917	Epdr1	674
ENSMUST00000002889.4	75	3890	Flii	3815
ENSMUST00000002891.10	265	3276	Top3a	3011
ENSMUST00000002902.7	19	1230	Qtrt1	1211
ENSMUST00000002914.9	74	2809	Chaf1a	2735
ENSMUST00000002923.9	218	1306	Adprh	1088
ENSMUST00000002924.14	394	1854	Tmem39a	1460
ENSMUST00000002925.5	130	987	Timmdc1	857
ENSMUST00000002926.7	270	1640	Pla1a	1370
ENSMUST00000002976.4	83	2677	Il17ra	2594
ENSMUST00000002989.10	320	1543	Arrdc2	1223
ENSMUST00000003017.12	174	1775	Tbxas1	1601
ENSMUST00000003027.13	82	1488	Map2k7	1406
ENSMUST00000003029.13	27	1385	Timm44	1358
ENSMUST00000003035.11	396	4961	Disp1	4565
ENSMUST00000003038.11	188	3004	Ap2a2	2816
ENSMUST00000003044.13	246	1814	Pnkp	1568
ENSMUST00000003061.13	78	1946	Bcam	1868
ENSMUST00000003066.15	85	1020	Apoe	935
ENSMUST00000003071.9	100	474	Apoc4	374
ENSMUST00000003074.15	156	449	Apoc2	293
ENSMUST00000003079.11	154	1404	Prkar2b	1250
ENSMUST00000003100.9	128	1603	Cyp2f2	1475
ENSMUST00000003115.8	520	1113	Cdkn1b	593
ENSMUST00000003117.14	185	1456	Ap1m1	1271
ENSMUST00000003121.8	160	783	Rab8a	623
ENSMUST00000003123.9	58	396	Fam32a	338
ENSMUST00000003135.13	229	1404	Elf3	1175
ENSMUST00000003137.14	45	1517	Cyp2c29	1472
ENSMUST00000003152.13	816	2126	Stk11	1310
ENSMUST00000003154.6	282	911	Efna2	629
ENSMUST00000003156.14	152	658	Atp5d	506
ENSMUST00000003183.11	104	1603	Ppp5c	1499
ENSMUST00000003219.13	38	1555	Cnot11	1517
ENSMUST00000003238.13	1072	2769	Foxj2	1697
ENSMUST00000003268.10	177	1283	Sh3gl1	1106
ENSMUST00000003274.7	223	909	Ebi3	686
ENSMUST00000003284.15	270	1529	Irf3	1259
ENSMUST00000003290.11	126	893	Bcl2l12	767
ENSMUST00000003310.6	59	9220	Ranbp2	9161
ENSMUST00000003312.4	218	1564	Edar	1346
ENSMUST00000003313.9	832	2604	Grk5	1772
ENSMUST00000003319.5	97	2226	Abcf3	2129
ENSMUST00000003320.13	98	2251	Eif2b5	2153
ENSMUST00000003351.12	158	3877	Grin2c	3719
ENSMUST00000003360.9	431	1417	Car11	986
ENSMUST00000003369.9	581	2080	Plag1	1499
ENSMUST00000003370.13	226	1800	Hck	1574
ENSMUST00000003386.6	204	1088	Mrpl4	884
ENSMUST00000003413.6	1	1599	Cyp4f39	1598
ENSMUST00000003416.14	89	1663	Cyp4f16	1574
ENSMUST00000003434.13	542	2113	Btbd2	1571
ENSMUST00000003436.11	352	1284	Abhd17a	932
ENSMUST00000003438.10	138	791	Mob3a	653
ENSMUST00000003444.5	190	1671	Ccdc65	1481
ENSMUST00000003445.7	114	719	Fkbp11	605
ENSMUST00000003450.14	68	2527	Ddx23	2459
ENSMUST00000003451.10	113	811	Rnd1	698
ENSMUST00000003459.3	105	3179	Myo1g	3074
ENSMUST00000003468.9	304	3243	Grik5	2939
ENSMUST00000003469.7	142	804	Cd79a	662
ENSMUST00000003501.8	413	1516	Elavl3	1103
ENSMUST00000003509.9	621	1817	St8sia6	1196
ENSMUST00000003513.10	82	987	Nosip	905
ENSMUST00000003521.9	129	605	Rps11	476
ENSMUST00000003527.9	35	3283	Supt5	3248
ENSMUST00000003529.8	258	1865	Paf1	1607
ENSMUST00000003536.8	46	645	Med29	599
ENSMUST00000003544.13	1	2928	Bicd1	2927
ENSMUST00000003550.10	114	2240	Ncstn	2126
ENSMUST00000003554.10	179	1396	Casq1	1217
ENSMUST00000003561.9	349	1341	Phyhip	992
ENSMUST00000003569.5	61	855	Inmt	794
ENSMUST00000003572.9	36	2225	Gars	2189
ENSMUST00000003574.4	50	1624	Cyp4f18	1574
ENSMUST00000003575.10	94	840	Tpm4	746
ENSMUST00000003597.14	193	1623	Psg18	1430
ENSMUST00000003599.8	148	2940	Pcdhgb6	2792
ENSMUST00000003620.12	136	1935	Prodh	1799
ENSMUST00000003621.9	44	1486	Ess2	1442
ENSMUST00000003622.15	141	1076	Slc25a1	935
ENSMUST00000003628.12	259	2994	Ddr1	2735
ENSMUST00000003635.6	36	518	Ier3	482
ENSMUST00000003640.3	621	1637	Fosb	1016
ENSMUST00000003642.6	71	1930	Klc4	1859
ENSMUST00000003645.8	427	1323	Ercc1	896
ENSMUST00000003655.8	79	1209	As3mt	1130
ENSMUST00000003659.8	15	2282	Comp	2267
ENSMUST00000003669.7	57	1136	Homer3	1079
ENSMUST00000003677.10	72	1211	Rnf215	1139
ENSMUST00000003681.7	154	1365	Sec14l2	1211
ENSMUST00000003687.7	1110	2348	Tgfb3	1238
ENSMUST00000003705.11	28	1056	Aven	1028
ENSMUST00000003717.12	198	4028	Abcb4	3830
ENSMUST00000003720.4	339	2177	Crot	1838
ENSMUST00000003726.15	274	4479	Brd4	4205
ENSMUST00000003754.7	70	885	Calb2	815
ENSMUST00000003759.10	197	1216	Ciao1	1019
ENSMUST00000003762.7	43	1794	Has1	1751
ENSMUST00000003808.7	484	1395	Gdf15	911
ENSMUST00000003818.13	467	1144	Insig2	677
ENSMUST00000003826.7	135	1604	Htr3a	1469
ENSMUST00000003850.7	142	2178	Itpkc	2036
ENSMUST00000003857.6	64	2178	Shkbp1	2114
ENSMUST00000003860.12	155	1756	Coq8b	1601
ENSMUST00000003870.14	183	1070	Mxi1	887
ENSMUST00000003898.11	182	2473	Ece2	2291
ENSMUST00000003906.12	47	1573	Farsa	1526
ENSMUST00000003907.13	237	1580	Gcdh	1343
ENSMUST00000003910.12	217	1278	Dnase2a	1061
ENSMUST00000003912.6	137	1387	Calr	1250
ENSMUST00000003946.8	22	1233	Nob1	1211
ENSMUST00000003947.8	135	959	Nqo1	824
ENSMUST00000003961.15	159	3743	Ppfia3	3584
ENSMUST00000003964.16	210	2426	Gys1	2216
ENSMUST00000003971.9	26	649	Lin7b	623
ENSMUST00000003981.5	94	1473	Il7r	1379
ENSMUST00000004036.5	393	1415	Efnb3	1022
ENSMUST00000004050.6	235	951	Mmd	716
ENSMUST00000004051.7	532	1419	Hlf	887
ENSMUST00000004054.12	200	1816	Kpna1	1616
ENSMUST00000004055.9	596	3154	Dzip1	2558
ENSMUST00000004057.8	13	480	Fam162a	467
ENSMUST00000004072.9	43	816	Rpl8	773
ENSMUST00000004076.4	183	2822	Grm3	2639
ENSMUST00000004094.14	138	1223	Ssbp2	1085
ENSMUST00000004120.8	1081	2208	Fancl	1127
ENSMUST00000004133.10	887	3238	Brinp2	2351
ENSMUST00000004134.10	134	808	Gstm5	674
ENSMUST00000004136.9	144	800	Gstm3	656
ENSMUST00000004137.10	164	820	Gstm7	656
ENSMUST00000004143.2	337	2697	Stat5b	2360
ENSMUST00000004156.9	825	3377	Map3k11	2552
ENSMUST00000004172.14	146	1093	Hmox2	947
ENSMUST00000004173.11	250	876	Cdip1	626
ENSMUST00000004200.8	174	863	Cwc15	689
ENSMUST00000004201.7	115	5334	Col5a3	5219
ENSMUST00000004202.16	193	5055	Dnmt1	4862
ENSMUST00000004203.5	126	1538	Ppan	1412
ENSMUST00000004206.9	61	1023	Eif3g	962
ENSMUST00000004208.6	427	1908	Angptl2	1481
ENSMUST00000004222.13	418	3465	Hira	3047
ENSMUST00000004232.9	226	1353	Adh1	1127
ENSMUST00000004281.9	381	2180	Dyrk2	1799
ENSMUST00000004294.11	102	2480	Kifc2	2378
ENSMUST00000004326.3	178	5796	Plxna3	5618
ENSMUST00000004327.10	381	1928	G6pdx	1547
ENSMUST00000004330.9	207	1499	Ikbkg	1292
ENSMUST00000004340.10	1	1251	Pax2	1250
ENSMUST00000004343.6	32	1114	Wars2	1082
ENSMUST00000004375.15	102	1001	Phb2	899
ENSMUST00000004377.14	114	1907	Ptpn6	1793
ENSMUST00000004378.14	253	1557	Eno2	1304
ENSMUST00000004379.7	136	870	Emg1	734
ENSMUST00000004381.13	183	1646	Lpcat3	1463
ENSMUST00000004389.5	404	784	Grcc10	380
ENSMUST00000004392.11	162	1655	Irf5	1493
ENSMUST00000004396.12	100	459	Atp6v1f	359
ENSMUST00000004430.13	481	3081	Clcn3	2600
ENSMUST00000004453.8	134	799	Gpx6	665
ENSMUST00000004470.8	155	8524	Utp20	8369
ENSMUST00000004473.14	143	871	Spic	728
ENSMUST00000004480.4	215	565	Sst	350
ENSMUST00000004494.15	23	3319	Sin3b	3296
ENSMUST00000004497.10	174	2444	Large1	2270
ENSMUST00000004505.2	21	4022	Npc1l1	4001
ENSMUST00000004507.10	54	1694	Ddx56	1640
ENSMUST00000004508.12	38	721	Tmed4	683
ENSMUST00000004554.13	101	715	Rps5	614
ENSMUST00000004560.11	175	762	Bid	587
ENSMUST00000004565.14	268	888	Ralb	620
ENSMUST00000004574.13	198	1274	Dnajb11	1076
ENSMUST00000004576.7	369	2027	Tbccd1	1658
ENSMUST00000004587.10	138	1124	Clec11a	986
ENSMUST00000004614.14	441	2939	Zfp110	2498
ENSMUST00000004622.6	241	2241	Gab2	2000
ENSMUST00000004646.12	154	1578	Coro1c	1424
